Temps,A,B
86.8,0.500085,0.500085
86.9,0.500084,0.500084
87,0.500083,0.500083
87.1,0.500082,0.500082
87.2,0.500082,0.500082
87.3,0.500081,0.500081
87.4,0.50008,0.50008
87.5,0.500079,0.500079
87.6,0.500078,0.500078
87.7,0.500078,0.500078
87.8,0.500077,0.500077
87.9,0.500076,0.500076
88,0.500075,0.500075
88.1,0.500075,0.500075
88.2,0.500074,0.500074
88.3,0.500073,0.500073
88.4,0.500072,0.500072
88.5,0.500072,0.500072
88.6,0.500071,0.500071
88.7,0.50007,0.50007
88.8,0.50007,0.50007
88.9,0.500069,0.500069
89,0.500068,0.500068
89.1,0.500068,0.500068
89.2,0.500067,0.500067
89.3,0.500066,0.500066
89.4,0.500066,0.500066
89.5,0.500065,0.500065
89.6,0.500064,0.500064
89.7,0.500064,0.500064
89.8,0.500063,0.500063
89.9,0.500062,0.500062
90,0.500062,0.500062
90.1,0.500061,0.500061
90.2,0.50006,0.50006
90.3,0.50006,0.50006
90.4,0.500059,0.500059
90.5,0.500059,0.500059
90.6,0.500058,0.500058
90.7,0.500058,0.500058
90.8,0.500057,0.500057
90.9,0.500056,0.500056
91,0.500056,0.500056
91.1,0.500055,0.500055
91.2,0.500055,0.500055
91.3,0.500054,0.500054
91.4,0.500054,0.500054
91.5,0.500053,0.500053
91.6,0.500053,0.500053
91.7,0.500052,0.500052
91.8,0.500052,0.500052
91.9,0.500051,0.500051
92,0.500051,0.500051
92.1,0.50005,0.50005
92.2,0.50005,0.50005
92.3,0.500049,0.500049
92.4,0.500049,0.500049
92.5,0.500048,0.500048
92.6,0.500048,0.500048
92.7,0.500047,0.500047
92.8,0.500047,0.500047
92.9,0.500046,0.500046
93,0.500046,0.500046
93.1,0.500045,0.500045
93.2,0.500045,0.500045
93.3,0.500044,0.500044
93.4,0.500044,0.500044
93.5,0.500043,0.500043
93.6,0.500043,0.500043
93.7,0.500043,0.500043
93.8,0.500042,0.500042
93.9,0.500042,0.500042
94,0.500041,0.500041
94.1,0.500041,0.500041
94.2,0.500041,0.500041
94.3,0.50004,0.50004
94.4,0.50004,0.50004
94.5,0.500039,0.500039
94.6,0.500039,0.500039
94.7,0.500039,0.500039
94.8,0.500038,0.500038
94.9,0.500038,0.500038
95,0.500037,0.500037
95.1,0.500037,0.500037
95.2,0.500037,0.500037
95.3,0.500036,0.500036
95.4,0.500036,0.500036
95.5,0.500036,0.500036
95.6,0.500035,0.500035
95.7,0.500035,0.500035
95.8,0.500035,0.500035
95.9,0.500034,0.500034
96,0.500034,0.500034
96.1,0.500034,0.500034
96.2,0.500033,0.500033
96.3,0.500033,0.500033
96.4,0.500033,0.500033
96.5,0.500032,0.500032
96.6,0.500032,0.500032
96.7,0.500032,0.500032
96.8,0.500031,0.500031
96.9,0.500031,0.500031
97,0.500031,0.500031
97.1,0.50003,0.50003
97.2,0.50003,0.50003
97.3,0.50003,0.50003
97.4,0.500029,0.500029
97.5,0.500029,0.500029
97.6,0.500029,0.500029
97.7,0.500029,0.500029
97.8,0.500028,0.500028
97.9,0.500028,0.500028
98,0.500028,0.500028
98.1,0.500027,0.500027
98.2,0.500027,0.500027
98.3,0.500027,0.500027
98.4,0.500027,0.500027
98.5,0.500026,0.500026
98.6,0.500026,0.500026
98.7,0.500026,0.500026
98.8,0.500026,0.500026
98.9,0.500025,0.500025
99,0.500025,0.500025
99.1,0.500025,0.500025
99.2,0.500025,0.500025
99.3,0.500024,0.500024
99.4,0.500024,0.500024
99.5,0.500024,0.500024
99.6,0.500024,0.500024
99.7,0.500023,0.500023
99.8,0.500023,0.500023
99.9,0.500023,0.500023
100,0.500023,0.500023
100.1,0.500022,0.500022
100.2,0.500022,0.500022
100.3,0.500022,0.500022
100.4,0.500022,0.500022
100.5,0.500022,0.500022
100.6,0.500021,0.500021
100.7,0.500021,0.500021
100.8,0.500021,0.500021
100.9,0.500021,0.500021
101,0.500021,0.500021
101.1,0.50002,0.50002
101.2,0.50002,0.50002
